Name,Salary
B.J. Thompson,"$1,027,913"
Owen Pappoe,"$1,021,244"
Christopher Smith II,"$1,021,244"
Henry To'oTo'o,"$1,021,244"
Eric Scott Jr.,"$1,014,576"
Karl Brooks,"$1,013,007"
Kei'Trel Clark,"$1,012,153"
Josh Hayes,"$1,011,093"
Tre Tomlinson,"$1,009,963"
Zaire Barnes,"$1,009,055"
JL Skinner,"$1,009,055"
Tanner McKee,"$1,006,630"
Luke Wypler,"$1,004,993"
Malaesala Aumavae-Laulu,"$1,003,298"
Scott Matlock,"$1,003,074"
Amari Burney,"$1,001,279"
Tre Hawkins III,"$997,380"
Baylon Spector,"$940,931"
Hakeem Adeniji,"$1,010,000"
Essang Bassey,"$1,010,000"
Dante Stills,"$993,334"
Dee Winters,"$993,334"
Roy Lopez,"$1,002,500"
Josh Johnson,"$1,317,500"
Khalil Davis,"$940,000"
Jon Rhattigan,"$940,000"
Kalia Davis,"$948,004"
Khalil Dorsey,"$870,000"
Taylor Stallworth,"$1,080,000"
Jaylon Jones,"$988,370"
DeMarcco Hellams,"$986,575"
Jovaughn Gwyn,"$986,457"
Nesta Jade Silvera,"$985,176"
Carrington Valentine,"$985,176"
Andre Jones Jr.,"$985,068"
Otito Ogbonnia,"$994,720"
Zack Bailey,
Jordon Riley,"$980,942"
Anthony Johnson Jr.,"$980,941"
D.J. Ivey,"$980,163"
Moro Ojomo,"$979,446"
Alex Forsyth,"$979,444"
Jalen Graham,"$979,444"
Desjuan Johnson,"$979,444"
Nic Jones,"$979,444"
Gervarrius Owens,"$979,444"
Andre Carter II,"$911,667"
Mohamoud Diabate,"$906,667"
Curtis Hodges,"$861,667"
Ronnie Hickman,"$905,000"
Thomas Incoom,"$905,000"
Ivan Pace,"$905,000"
Steven Gilmore,"$903,333"
Cam Jones,"$903,333"
Kaevon Merriweather,"$903,333"
Alec Anderson,"$836,750"
Christian Izien,"$901,667"
Eli Ricks,"$901,667"
Brenton Cox Jr.,"$901,333"
Ricky Lee,"$900,000"
Caleb Murphy,"$900,000"
Markees Watts,"$898,333"
Nick Broeker,"$985,525"
Dylan Cook,"$750,000"
Mike Greene,"$832,500"
Kahlef Hailassie,"$901,667"
D’Shawn Jamison,"$905,000"
Quindell Johnson,"$908,333"
Anthony Kendall,"$898,333"
Isaiah Land,"$900,000"
Ja’Quan McMillian,"$830,000"
Segun Olubi,"$750,000"
LaBryan Ray,"$750,000"
Juanyeh Thomas,"$832,500"
Starling Thomas V,"$905,000"
NaJee Thompson,"$898,333"
Hendon Hooker,"$1,429,755"
Josh Blackwell,"$870,000"
Terrell Burgess,"$1,010,000"
Mike Brown,"$927,500"
Frank Clark,"$1,165,000"
McClendon Curtis,"$750,000"
Cameron Mitchell,"$1,044,308"
DeMarvion Overshown,"$1,347,507"
A.J. Klein,"$1,317,500"
Dicaprio Bootle,"$997,500"
De'Jon Harris,"$660,000"
L.J. Collier,"$1,232,500"
Joey Blount,"$927,500"
Shaquill Griffin,"$3,500,000"
Jake Haener,"$1,136,204"
Jarrick Bernard-Converse,"$1,001,278"
Tyler Hall,"$895,000"
Samuel Womack,"$985,831"
Cameron Latu,"$1,326,021"
Darrell Luter Jr.,"$1,038,378"
Corey Ballentine,"$1,140,000"
Henry Anderson,"$1,317,500"
Rashad Fenton,"$1,232,500"
Trai Turner,"$1,317,500"
Hassan Haskins,"$1,088,055"
Kenny Yeboah,"$1,338,250"
Leonard Williams,"$21,000,000"
Stetson Bennett,"$1,134,785"
Braeden Daniels,"$1,148,613"
Jerrick Reed II,"$1,003,701"
Ventrell Miller,"$1,144,234"
Cameron Goode,"$832,500"
Kana’i Mauga,"$750,000"
A.J. Finley,"$882,500"
Myjai Sanders,"$1,261,227"
Kenny McIntosh,"$982,713"
James Houston,"$787,500"
Bobby Price,"$1,010,000"
K'Von Wallace,"$1,000,278"
Robert Beal Jr.,"$1,021,244"
Jason Taylor II,"$984,508"
Damarion Williams,"$1,041,085"
Drake Thomas,"$903,333"
Jarrad Davis,"$1,180,000"
Malik Reed,"$1,080,000"
Kentavius Street,"$1,280,000"
Rodney Williams,"$832,500"
Claudin Cherelus,"$900,000"
Micah Abernathy,"$870,000"
Christian Braswell,"$1,001,898"
Robert Rochell,"$940,000"
Pat Elflein,"$1,150,000"
Shaun Bradley,"$866,605"
Dallis Flowers,"$855,000"
Mike Morris,"$1,043,019"
Darius Harris,"$1,010,000"
John Wolford,"$1,010,000"
Matt Waletzko,"$995,873"
Tyler Davis,"$1,040,000"
J.C. Hassenauer,"$1,035,000"
Ar'Darius Washington,"$940,000"
Daryl Worley,"$1,165,000"
Tyrus Wheat,
Roderick Johnson,"$1,025,400"
Tyrone Wheatley Jr.,"$750,000"
Luiji Vilain,"$870,000"
Justin Shorter,"$1,040,987"
Daniel Scott,"$1,036,959"
Javelin Guidry Jr.,"$1,010,000"
Linval Joseph,"$1,165,000"
Jabril Cox,"$940,000"
DeAndre Houston-Carson,"$1,165,000"
Ben Niemann,"$1,080,000"
Jack Anderson,"$940,000"
Mike Woods,"$957,072"
Josh Ali,"$832,500"
Grayland Arnold,"$952,500"
Feleipe Franks,"$813,333"
Ameer Speed,"$993,334"
Bradlee Anae,"$917,500"
Alex Cook,"$750,000"
Darius Rush,"$750,000"
Genard Avery,"$1,080,000"
Andrew Dowell,"$940,000"
Ethan Greenidge,"$940,000"
Terez Hall,"$940,000"
Marlon Mack,"$1,080,000"
Ifeadi Odenigbo,"$1,080,000"
Chapelle Russell,"$940,000"
Austin Walter,"$750,000"
Shaquille Leonard,"$1,583,300"
Gregory Junior,"$787,500"
Ochaun Mathis,"$1,005,616"
Brittain Brown,"$934,963"
Kearis Jackson,"$898,333"
Tariq Castro-Fields,"$870,000"
Troy Hairston,"$853,333"
Titus Leo,"$993,333"
D'Angelo Ross,"$927,500"
Armani Rogers,"$859,167"
Darien Butler,"$858,333"
Jalen Virgil,"$857,500"
Cooper Hodges,"$986,372"
Andrew Vorhees,"$985,528"
Brandon Dillon,"$870,000"
Nazeeh Johnson,"$787,500"
William Kwenkeu,"$927,500"
Joe Reed,"$870,000"
Luke Tenuta,"$953,171"
Renell Wren,"$870,000"
Jake Witt,"$983,705"
Cory Trice Jr.,"$981,109"
Dawson Deaton,"$935,735"
Isaiah Bolden,"$980,421"
Nick Vigil,"$1,165,000"
Andre Smith,"$1,080,000"
Ikenna Enechukwu,"$908,333"
Eric Garror,"$750,000"
LaCale London,"$750,000"
Blake Whiteheart,"$750,000"
Devonnsha Maxwell,"$906,667"
Dalton Wagner,"$906,667"
Shakel Brown,"$905,000"
Bryce Ford-Wheaton,"$905,000"
Alex Palczewski,"$905,000"
Nikko Remigio,"$903,333"
Zach Davidson,"$837,000"
David Durden,"$901,667"
Jesse Matthews,"$901,667"
Andrew Trainer,"$856,667"
Kilian Zierer,"$901,667"
Maalik Hall,"$900,833"
Matt Hembrough,"$900,667"
John Stephens,"$899,333"
Malik Hamm,"$899,000"
A.J. Uzodinma,"$899,000"
Zeke Vandenburgh,"$899,000"
Jaylon Moore,"$750,000"
David Bada,"$1,575,000"
Curtis Brooks,"$750,000"
LaTrell Bumphus,"$898,333"
Devin Cochran,"$750,000"
Alfonzo Graham,"$898,333"
Kyler McMichael,"$832,500"
Tre Nixon,"$750,000"
Joshua Onujiogu,"$787,500"
DJ Scaife,"$750,000"
Andrew Whitaker,"$832,500"
Mykal Walker,"$1,010,000"
Chance Campbell,"$892,500"
Tae Davis,"$1,080,000"
Rashaan Evans,
Justin Hollins,"$1,080,000"
Alex Austin,"$750,000"
Travis Bell,"$750,000"
Trevor Nowaske,"$750,000"
Tommy DeVito,"$750,000"
Nick Moore,"$1,247,500"
Cameron Dantzler,"$1,010,000"
Jack Jones,"$1,101,746"
Keir Thomas,"$705,000"
Julian Good-Jones,"$750,000"
Derek Barnett,"$5,070,000"
Sheldon Day,"$1,165,000"
Blake Martinez,
Ronnie Harrison,"$1,080,000"
Blake Lynch,"$940,000"
J.J. Russell,"$927,500"
Benton Whitley,
Chandler Brewer,"$1,010,000"
Johnathan Abram,"$1,162,500"
Kyu Blu Kelly,"$1,037,286"
Eku Leota,"$750,000"
TK McClendon,"$750,000"
A.J. McCarron,"$1,165,000"
Jason Pierre-Paul,"$1,165,000"
Jaleel Johnson,"$1,080,000"
Joe Jones,"$1,080,000"
Desmond King,"$1,080,000"
Pat O'Connor,"$1,232,500"
David Long,"$1,500,000"
Monty Rice,"$1,212,215"
Andrew Farmer,
Jalen Harris,"$750,000"
Keenan Isaac,
Qwuantrezz Knight,"$832,500"
Trenton Thompson,"$750,000"
Shaun Jolly,"$870,000"
Kindle Vildor,"$1,010,000"
Adrian Amos,"$1,165,000"
Logan Ryan,"$1,165,000"
Kris Boyd,"$1,080,000"
Naquan Jones,"$940,000"
Ekow Boye-Doe,
Ben VanSumeren,"$750,000"
Christian Elliss,"$787,500"
Janarius Robinson,"$870,000"
Malik Knowles,"$903,333"
P.J. Mustipher,"$750,000"
Otis Reese,"$750,000"
Eyioma Uwazurike,"$1,106,467"
Shaka Toney,"$893,238"
Eddie Goldman,"$1,317,500"
Brandon Shell,"$1,317,500"
Justin Jackson,"$1,080,000"
Ben Ellefson,"$1,010,000"
Sammis Reyes,"$940,000"
Trayvon Mullen,"$1,080,000"
Isaiah Rodgers,
