Name,Salary
Julian Love,"$6,000,000"
Jordyn Brooks,"$3,058,902"
Patrick Queen,"$3,040,418"
Jordan Davis,"$4,252,320"
Eric Murray,"$4,000,000"
DaVon Hamilton,"$11,500,000"
Jaelan Phillips,"$3,504,551"
Jamel Dean,"$13,000,000"
Jamin Davis,"$3,448,544"
Kwity Paye,"$3,411,208"
Kyle Hamilton,"$4,063,771"
Andrew Billings,"$4,000,000"
Jeff Okudah,"$8,382,136"
Caleb Farley,"$3,373,871"
Bryan Mone,"$5,517,500"
Kyle Dugger,"$2,082,976"
Marcus Maye,"$7,500,000"
Kenyon Green,"$3,988,351"
Lawrence Guy,"$2,875,000"
Jaylon Johnson,"$1,617,193"
Marquis Haynes,"$2,750,000"
Cody Barton,"$3,500,000"
Devin Bush,"$3,500,000"
Greg Newsome,"$3,187,184"
Taven Bryan,"$3,510,000"
Payton Turner,"$3,131,184"
Jabrill Peppers,"$4,500,000"
C.J. Henderson,"$5,129,005"
Shelby Harris,"$3,500,000"
Zach Sieler,"$10,250,000"
Jeremy Chinn,"$1,310,368"
Alex Singleton,"$6,000,000"
Siran Neal,"$3,000,000"
Donovan Wilson,"$7,000,000"
Logan Wilson,"$9,000,000"
David Long,"$5,500,000"
Cameron Sutton,"$11,000,000"
Eric Stokes,"$2,981,381"
Kyzir White,"$5,000,000"
Michael Pierce,"$5,500,000"
Montravius Adams,"$2,500,000"
Trent McDuffie,"$3,498,121"
Hassan Ridgeway,"$3,250,000"
Greg Rousseau,"$2,902,050"
Leighton Vander Esch,"$4,000,000"
Lukas Van Ness,"$4,347,023"
Keion Crossen,"$3,150,000"
Quay Walker,"$3,460,410"
Kaiir Elam,"$3,422,702"
Vonn Bell,"$7,500,000"
Odafe Oweh,"$2,835,598"
James Bradberry,"$12,666,667"
Mike Hughes,"$3,500,000"
Joe Tryon,"$2,792,809"
E.J. Speed,"$4,000,000"
Za'Darius Smith,"$11,710,000"
Jarran Reed,"$4,500,000"
Ashtyn Davis,"$1,229,346"
Kamren Curl,"$852,082"
Brandon Jones,"$1,218,273"
Justin Madubuike,"$1,213,327"
Carl Lawson,"$15,000,000"
Zaire Franklin,"$3,333,333"
Jarrett Stidham,"$5,000,000"
Dante Fowler Jr.,"$3,000,000"
Drue Tranquill,"$3,000,000"
Matt Hennessy,"$1,186,141"
Julian Blackmon,"$1,157,212"
Jermaine Johnson,"$3,271,861"
Will McDonald,"$4,080,419"
Chase Young,"$8,640,899"
Devin Lloyd,"$3,234,151"
Jalen Ramsey,"$18,333,333"
D.J. Wonnum,"$1,011,445"
Devonte Wyatt,"$3,215,296"
Charlie Heck,"$1,001,426"
Jalen Mills,"$3,750,000"
L'Jarius Sneed,"$982,330"
Shy Tuttle,"$6,500,000"
K'Waun Williams,"$2,600,000"
Mike Edwards,"$3,000,000"
Arden Key,"$7,000,000"
Jordan Phillips,"$3,000,000"
Brandon Bolden,"$2,505,000"
Case Keenum,"$3,125,000"
Ashton Dulin,"$3,600,000"
Bud Dupree,"$3,000,000"
Byron Murphy,"$8,750,000"
Michael Danna,"$889,665"
Brandon Facyson,"$3,250,000"
Emmanuel Forbes,"$3,851,892"
Jordan Fuller,"$866,428"
Oren Burks,"$2,500,000"
Keisean Nixon,"$4,000,000"
Christian Gonzalez,"$3,775,717"
Cole Holcomb,"$6,000,000"
George Karlaftis,"$2,983,868"
Jack Campbell,"$3,680,501"
Robert Spillane,"$3,500,000"
Xavier McKinney,"$2,097,762"
Daxton Hill,"$2,916,753"
Andrew Van Ginkel,"$2,650,000"
Calijah Kancey,"$3,623,369"
Rakeem Nunez-Roches,"$4,000,000"
Myles Bryant,"$2,627,000"
Jeremy Reaves,"$2,627,000"
Jerry Tillery,"$3,400,000"
Leonard Floyd,"$7,000,000"
Lewis Cine,"$2,873,538"
Yetur Gross-Matos,"$2,049,702"
Mike Purcell,"$3,833,333"
Andrew Wingard,"$3,200,000"
M.J. Stewart,"$3,000,000"
Morgan Fox,"$3,625,000"
Alex Anzalone,"$6,100,000"
A'Shawn Robinson,"$5,000,000"
Miles Killebrew,"$2,000,000"
Deonte Banks,"$3,394,849"
Clelin Ferrell,"$2,500,000"
Tyson Campbell,"$2,253,776"
Darnell Savage,"$3,129,422"
Rasheem Green,"$2,500,000"
Mazi Smith,"$3,318,674"
